revenue_lifecycle_state,persona,initial_subscription_group,segment_level,companies,last_subscription_revenue,last_interchange_revenue,last_banking_fees,last_deposit_interest_revenue,last_total_revenue,segment_company_share_pct
Active,Bankers_Insurance,plus,persona_x_initial_plan,14,240.00000000000000000000,481.35961799999741370000,0.00000000000000000000,1194.78713402958895762430,1916.14675202958637132430,93.33
At-risk,Bankers_Insurance,plus,persona_x_initial_plan,1,0.00000000000000000000,1.31122799999999360000,0.00000000000000000000,0.06910740438356165200,1.38033540438355525200,6.67
Active,Bankers_Insurance,start,persona_x_initial_plan,97,871.57862903200000000000,852.31072799999537210400,6.86000000000000000000,1398.74290301863030221730,3129.49226005062567432130,95.1
At-risk,Bankers_Insurance,start,persona_x_initial_plan,2,18.00000000000000000000,0.00000000000000000000,0.00000000000000000000,17.18099178082190764000,35.18099178082190764000,1.96
Churned proxy,Bankers_Insurance,start,persona_x_initial_plan,3,26.00000000000000000000,2.35894436371497700000,0.00000000000000000000,5.52570136986301469000,33.88464573357799169000,2.94
Active,Bikers_Drivers,business,persona_x_initial_plan,27,1661.00000000000000000000,1802.32853399999021459000,397.40000000000000000000,380.57678378191781132120,4241.30531778190802591120,72.97
At-risk,Bikers_Drivers,business,persona_x_initial_plan,3,160.00000000000000000000,1.55195999999999220000,0.00000000000000000000,0.21825527890410958900,161.77021527890410178900,8.11
Churned proxy,Bikers_Drivers,business,persona_x_initial_plan,7,400.00000000000000000000,88.62202664845908100000,0.00000000000000000000,4.49805054904109686520,493.12007719750017786520,18.92
Active,Bikers_Drivers,free,persona_x_initial_plan,304,235.34000000000000000000,2153.46741479998835493060,972.80000000000000008000,889.57684546410959869864,4251.18426026409795370924,84.68
At-risk,Bikers_Drivers,free,persona_x_initial_plan,24,0.00000000000000000000,41.55645599999980453000,260.40000000000000000000,10.04413034630137062205,312.00058634630117515205,6.69
Churned proxy,Bikers_Drivers,free,persona_x_initial_plan,31,0.00000000000000000000,217.55639988824586343000,381.20000000000000000000,60.49210563178086180532,659.24850552002672523532,8.64
Active,Bikers_Drivers,plus,persona_x_initial_plan,137,2954.94666666600000000000,4809.83184899997376606500,769.48000000000000070000,756.79888934794518899439,9291.05740501391895575939,79.65
At-risk,Bikers_Drivers,plus,persona_x_initial_plan,14,214.90000000000000000000,44.25483599999978546600,-1.92000000000000000000,0.72915567342465749390,257.96399167342444295990,8.14
Churned proxy,Bikers_Drivers,plus,persona_x_initial_plan,21,275.00000000000000000000,1235.93745745817587533000,-4.69999999999999986000,35.59376356054796293068,1541.83122101872383840068,12.21
Active,Bikers_Drivers,start,persona_x_initial_plan,413,3979.93292679078125000000,7050.68847719996175814700,603.70000000000000000000,1464.31476809917815528304,13098.63617208992116343004,86.95
At-risk,Bikers_Drivers,start,persona_x_initial_plan,32,187.93750000000000000000,400.05170999999832618400,138.68000000000000007100,20.90752076438356422693,747.57673076438189048193,6.74
Churned proxy,Bikers_Drivers,start,persona_x_initial_plan,30,132.00000000000000000000,107.76143984183928877000,236.00000000000000000000,10.42646702465753483130,486.18790686649682360130,6.32
Active,Cleaning_CallCenters,business,persona_x_initial_plan,2,160.00000000000000000000,23.28650999999987500000,0.00000000000000000000,2.51761370410958913000,185.80412370410946413000,100.0
Active,Cleaning_CallCenters,free,persona_x_initial_plan,34,0.00000000000000000000,113.96467799999937064500,25.60000000000000000000,121.08223976164385704270,260.64691776164322768770,97.14
At-risk,Cleaning_CallCenters,free,persona_x_initial_plan,1,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.05515068493150685600,0.05515068493150685600,2.86
Active,Cleaning_CallCenters,plus,persona_x_initial_plan,16,330.00000000000000000000,271.41307199999852790000,0.00000000000000000000,294.65344757917808670315,896.06651957917661460315,94.12
At-risk,Cleaning_CallCenters,plus,persona_x_initial_plan,1,0.00000000000000000000,40.09129199999980400000,-9.60000000000000000000,0.09489508712328766100,30.58618708712309166100,5.88
Active,Cleaning_CallCenters,start,persona_x_initial_plan,37,373.21875000000000000000,503.41278599999729819000,0.00000000000000000000,157.22646527506851272850,1033.85800127506581091850,92.5
At-risk,Cleaning_CallCenters,start,persona_x_initial_plan,2,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,19.59003169260274256165,19.59003169260274256165,5.0
Churned proxy,Cleaning_CallCenters,start,persona_x_initial_plan,1,0.00000000000000000000,40.11922937724229100000,0.00000000000000000000,0.40881242739726043000,40.52804180463955143000,2.5
Active,Consultant,business,persona_x_initial_plan,25,1600.00000000000000000000,1944.29282939998908800500,4.00000000000000000000,557.69799433643830352640,4105.99082373642739153140,80.65
At-risk,Consultant,business,persona_x_initial_plan,2,80.00000000000000000000,0.00000000000000000000,0.00000000000000000000,22.48948850301370059000,102.48948850301370059000,6.45
Churned proxy,Consultant,business,persona_x_initial_plan,4,0.00000000000000000000,461.91455809593351500000,0.00000000000000000000,2.02722246794520559560,463.94178056387872059560,12.9
Active,Consultant,free,persona_x_initial_plan,1287,581.24203065199999600000,7378.41046859996001341100,2763.54000000000000000000,14511.07978959178124888332,25234.27228884374125829432,92.52
At-risk,Consultant,free,persona_x_initial_plan,71,23.09000000000000000000,196.63774199999913659400,99.94000000000000000000,112.04321523835617099889,431.71095723835530759289,5.1
Churned proxy,Consultant,free,persona_x_initial_plan,33,0.00000000000000000000,410.79442356722839175000,286.52000000000000000000,38.83894719342466961704,736.15337076065306136704,2.37
Active,Consultant,plus,persona_x_initial_plan,208,4343.16633064200000000000,7811.25218999995719834680,927.32000000000000000000,6653.46810875123270511020,19735.20662939318990345700,89.66
At-risk,Consultant,plus,persona_x_initial_plan,14,170.00000000000000000000,1030.85944199999585410000,0.00000000000000000000,14.60782694904109741391,1215.46726894903695151391,6.03
Churned proxy,Consultant,plus,persona_x_initial_plan,10,145.00000000000000000000,237.80479801197066090000,0.00000000000000000000,15.07141986246575541330,397.87621787443641631330,4.31
Active,Consultant,start,persona_x_initial_plan,1346,12726.12262096464516000000,18354.88020059989942684600,3001.56000000000000000000,23953.72818511123372622498,58036.29100667577831307098,95.39
At-risk,Consultant,start,persona_x_initial_plan,38,326.00000000000000000000,49.39829999999976499000,0.32000000000000000000,192.50105304931508075946,568.21935304931484574946,2.69
Churned proxy,Consultant,start,persona_x_initial_plan,27,224.77083333300000000000,61.51823531002747620000,0.00000000000000000000,10.57056759780822325097,296.85963624083569945097,1.91
Active,Developer_IT,business,persona_x_initial_plan,17,905.00000000000000000000,671.93193959999642840000,0.00000000000000000000,154.67429727287672066609,1731.60623687287314906609,80.95
At-risk,Developer_IT,business,persona_x_initial_plan,3,240.00000000000000000000,5.51098799999997670000,0.00000000000000000000,0.69881371616438354500,246.20980171616436024500,14.29
Churned proxy,Developer_IT,business,persona_x_initial_plan,1,80.00000000000000000000,1349.71807026989560000000,0.00000000000000000000,5.50331420054794500000,1435.22138447044354500000,4.76
Active,Developer_IT,free,persona_x_initial_plan,598,219.56749999999999800000,4066.79794919997816842754,4347.60000000000000000000,9945.02300351835662141521,18578.98845271833478784275,91.44
At-risk,Developer_IT,free,persona_x_initial_plan,30,21.65000000000000000000,134.92681379999943947000,281.56000000000000000000,46.04789908328767279105,484.18471288328711226105,4.59
Churned proxy,Developer_IT,free,persona_x_initial_plan,26,0.00000000000000000000,37.16567943530997448000,281.04000000000000000000,24.77138501863014498566,342.97706445394011946566,3.98
