month_start,persona,initial_subscription_group,segment_level,revenue_type,prior_revenue,dropped_prior_revenue,one_month_gross_revenue_dropout_pct
2025-11-01,Media_Publishing,start,persona_x_initial_plan,Subscription,26.37500000000000000000,0.00000000000000000000,0.0
2025-11-01,Media_Publishing,start,persona_x_initial_plan,Total revenue,359.09565595063843576966,4.80986301369863070000,1.34
2025-11-01,Medical_Professionals,free,persona_x_initial_plan,Banking fees,4.00000000000000000000,,
2025-11-01,Medical_Professionals,free,persona_x_initial_plan,Deposit interest,3.37116048712328764900,,
2025-11-01,Medical_Professionals,free,persona_x_initial_plan,Interchange,1.28789509909026000000,,
2025-11-01,Medical_Professionals,free,persona_x_initial_plan,Subscription,0.00000000000000000000,,
2025-11-01,Medical_Professionals,free,persona_x_initial_plan,Total revenue,8.65905558621354764900,,
2025-11-01,Medical_Professionals,plus,persona_x_initial_plan,Banking fees,0.00000000000000000000,,
2025-11-01,Medical_Professionals,plus,persona_x_initial_plan,Deposit interest,0.02746849315068492600,,
2025-11-01,Medical_Professionals,plus,persona_x_initial_plan,Interchange,0.00000000000000000000,,
2025-11-01,Medical_Professionals,plus,persona_x_initial_plan,Subscription,0.00000000000000000000,,
2025-11-01,Medical_Professionals,plus,persona_x_initial_plan,Total revenue,0.02746849315068492600,,
2025-11-01,Medical_Professionals,start,persona_x_initial_plan,Banking fees,0.00000000000000000000,,
2025-11-01,Medical_Professionals,start,persona_x_initial_plan,Deposit interest,11.33934915999999968443,,
2025-11-01,Medical_Professionals,start,persona_x_initial_plan,Interchange,5.73619497961862260000,,
2025-11-01,Medical_Professionals,start,persona_x_initial_plan,Subscription,0.00000000000000000000,,
2025-11-01,Medical_Professionals,start,persona_x_initial_plan,Total revenue,17.07554413961862228443,,
2025-11-01,Others,business,persona_x_initial_plan,Banking fees,260.00000000000000000000,4.00000000000000000000,1.54
