reporting_month,persona,initial_subscription_group,segment_level,revenue_companies_two_months_prior,confirmed_two_month_inactive_companies,base_month_revenue,revenue_from_confirmed_inactive_companies,confirmed_two_month_inactivity_rate_pct,confirmed_two_month_revenue_rate_pct
2025-12-01,Professeur,plus,persona_x_initial_plan,1,0,0.54936986301369872000,,0.0,
2025-12-01,Professeur,start,persona_x_initial_plan,21,0,78.41321930270188041900,,0.0,
2025-12-01,Repair,free,persona_x_initial_plan,3,0,138.54418305101560620280,,0.0,
2025-12-01,Repair,plus,persona_x_initial_plan,1,0,17.80104044394788773000,,0.0,
2025-12-01,Repair,start,persona_x_initial_plan,4,0,20.76342732881420011000,,0.0,
2025-12-01,Restauration,free,persona_x_initial_plan,9,0,165.17762419751720115930,,0.0,
2025-12-01,Restauration,plus,persona_x_initial_plan,12,0,806.28584172652318450260,,0.0,
2025-12-01,Restauration,start,persona_x_initial_plan,7,0,245.93389024740792187700,,0.0,
2025-12-01,Retail,business,persona_x_initial_plan,1,1,147.57774928421034790000,147.57774928421034790000,100.0,100.0
2025-12-01,Retail,free,persona_x_initial_plan,49,1,1076.08659431227044090500,0.02197917808219178000,2.04,0.0
2025-12-01,Retail,plus,persona_x_initial_plan,25,0,2284.73358884403999711673,,0.0,
2025-12-01,Retail,start,persona_x_initial_plan,82,0,1568.06657283980909628389,,0.0,
2025-12-01,Wholesale,business,persona_x_initial_plan,1,0,1.51183165369863000000,,0.0,
2025-12-01,Wholesale,free,persona_x_initial_plan,6,0,299.30829014104638679976,,0.0,
2025-12-01,Wholesale,plus,persona_x_initial_plan,3,0,33.55940567241281826000,,0.0,
2025-12-01,Wholesale,start,persona_x_initial_plan,13,0,121.48312242880829195770,,0.0,
2026-01-01,ALL,business,initial_plan,75,7,9342.47716699341096182810,1723.57189786765108034600,9.33,18.45
2026-01-01,ALL,free,initial_plan,1312,47,33818.59831048509259723865,707.04815559158444447976,3.58,2.09
2026-01-01,ALL,plus,initial_plan,560,26,28575.11143254764994852496,1104.84691736695216059629,4.64,3.87
2026-01-01,ALL,start,initial_plan,1631,37,52124.58899088532758018860,714.25936971593788482651,2.27,1.37
2026-01-01,ALL,ALL,overall,3578,117,123860.77590091148108778031,4249.72634054212557024856,3.27,3.43
2026-01-01,Automobile_Trade_Repair,ALL,persona,146,7,5894.28626074783803092605,149.53658083169457685280,4.79,2.54
