inactive_months,persona,initial_subscription_group,segment_level,spells_reaching_inactivity_threshold,eventually_returned_in_observed_window,unresolved_at_april_cutoff,spells_with_1_month_followup,returned_within_next_1_month,spells_with_2_month_followup,returned_within_next_2_months,observed_return_lower_bound_pct,return_within_next_1_month_pct,return_within_next_2_months_pct
5,BTP,ALL,persona,27,0,27,10,0,0,0,0.0,0.0,
5,Bankers_Insurance,ALL,persona,2,0,2,0,0,0,0,0.0,,
5,Bikers_Drivers,ALL,persona,26,0,26,6,0,0,0,0.0,0.0,
5,Consultant,ALL,persona,12,0,12,3,0,0,0,0.0,0.0,
5,Developer_IT,ALL,persona,12,0,12,4,0,0,0,0.0,0.0,
5,Others,ALL,persona,22,0,22,5,0,0,0,0.0,0.0,
5,Professeur,ALL,persona,4,0,4,0,0,0,0,0.0,,
5,Repair,ALL,persona,2,0,2,0,0,0,0,0.0,,
5,Restauration,ALL,persona,4,0,4,0,0,0,0,0.0,,
5,Retail,ALL,persona,15,0,15,2,0,0,0,0.0,0.0,
5,Wholesale,ALL,persona,2,0,2,0,0,0,0,0.0,,
5,Automobile_Trade_Repair,business,persona_x_initial_plan,2,0,2,0,0,0,0,0.0,,
5,Automobile_Trade_Repair,free,persona_x_initial_plan,1,0,1,0,0,0,0,0.0,,
5,Automobile_Trade_Repair,plus,persona_x_initial_plan,1,0,1,0,0,0,0,0.0,,
5,Automobile_Trade_Repair,start,persona_x_initial_plan,3,0,3,0,0,0,0,0.0,,
5,BTP,business,persona_x_initial_plan,2,0,2,1,0,0,0,0.0,0.0,
5,BTP,free,persona_x_initial_plan,6,0,6,3,0,0,0,0.0,0.0,
5,BTP,plus,persona_x_initial_plan,11,0,11,4,0,0,0,0.0,0.0,
5,BTP,start,persona_x_initial_plan,8,0,8,2,0,0,0,0.0,0.0,
5,Bankers_Insurance,free,persona_x_initial_plan,1,0,1,0,0,0,0,0.0,,
5,Bankers_Insurance,start,persona_x_initial_plan,1,0,1,0,0,0,0,0.0,,
5,Bikers_Drivers,business,persona_x_initial_plan,2,0,2,0,0,0,0,0.0,,
5,Bikers_Drivers,free,persona_x_initial_plan,8,0,8,1,0,0,0,0.0,0.0,
5,Bikers_Drivers,plus,persona_x_initial_plan,10,0,10,3,0,0,0,0.0,0.0,
5,Bikers_Drivers,start,persona_x_initial_plan,6,0,6,2,0,0,0,0.0,0.0,
5,Consultant,business,persona_x_initial_plan,1,0,1,0,0,0,0,0.0,,
5,Consultant,free,persona_x_initial_plan,7,0,7,2,0,0,0,0.0,0.0,
5,Consultant,start,persona_x_initial_plan,4,0,4,1,0,0,0,0.0,0.0,
5,Developer_IT,business,persona_x_initial_plan,1,0,1,0,0,0,0,0.0,,
5,Developer_IT,free,persona_x_initial_plan,8,0,8,3,0,0,0,0.0,0.0,
5,Developer_IT,plus,persona_x_initial_plan,1,0,1,1,0,0,0,0.0,0.0,
5,Developer_IT,start,persona_x_initial_plan,2,0,2,0,0,0,0,0.0,,
5,Others,business,persona_x_initial_plan,1,0,1,1,0,0,0,0.0,0.0,
5,Others,free,persona_x_initial_plan,5,0,5,1,0,0,0,0.0,0.0,
5,Others,plus,persona_x_initial_plan,8,0,8,1,0,0,0,0.0,0.0,
5,Others,start,persona_x_initial_plan,8,0,8,2,0,0,0,0.0,0.0,
5,Professeur,free,persona_x_initial_plan,3,0,3,0,0,0,0,0.0,,
5,Professeur,start,persona_x_initial_plan,1,0,1,0,0,0,0,0.0,,
5,Repair,free,persona_x_initial_plan,2,0,2,0,0,0,0,0.0,,
5,Restauration,free,persona_x_initial_plan,4,0,4,0,0,0,0,0.0,,
5,Retail,business,persona_x_initial_plan,1,0,1,1,0,0,0,0.0,0.0,
5,Retail,free,persona_x_initial_plan,5,0,5,1,0,0,0,0.0,0.0,
5,Retail,plus,persona_x_initial_plan,2,0,2,0,0,0,0,0.0,,
5,Retail,start,persona_x_initial_plan,7,0,7,0,0,0,0,0.0,,
5,Wholesale,free,persona_x_initial_plan,1,0,1,0,0,0,0,0.0,,
5,Wholesale,start,persona_x_initial_plan,1,0,1,0,0,0,0,0.0,,
6,ALL,business,initial_plan,3,0,3,0,0,0,0,0.0,,
6,ALL,free,initial_plan,11,0,11,0,0,0,0,0.0,,
6,ALL,plus,initial_plan,9,0,9,0,0,0,0,0.0,,
6,ALL,start,initial_plan,7,0,7,0,0,0,0,0.0,,
6,ALL,ALL,overall,30,0,30,0,0,0,0,0.0,,
6,BTP,ALL,persona,10,0,10,0,0,0,0,0.0,,
6,Bikers_Drivers,ALL,persona,6,0,6,0,0,0,0,0.0,,
6,Consultant,ALL,persona,3,0,3,0,0,0,0,0.0,,
6,Developer_IT,ALL,persona,4,0,4,0,0,0,0,0.0,,
6,Others,ALL,persona,5,0,5,0,0,0,0,0.0,,
6,Retail,ALL,persona,2,0,2,0,0,0,0,0.0,,
6,BTP,business,persona_x_initial_plan,1,0,1,0,0,0,0,0.0,,
6,BTP,free,persona_x_initial_plan,3,0,3,0,0,0,0,0.0,,
6,BTP,plus,persona_x_initial_plan,4,0,4,0,0,0,0,0.0,,
6,BTP,start,persona_x_initial_plan,2,0,2,0,0,0,0,0.0,,
6,Bikers_Drivers,free,persona_x_initial_plan,1,0,1,0,0,0,0,0.0,,
6,Bikers_Drivers,plus,persona_x_initial_plan,3,0,3,0,0,0,0,0.0,,
6,Bikers_Drivers,start,persona_x_initial_plan,2,0,2,0,0,0,0,0.0,,
6,Consultant,free,persona_x_initial_plan,2,0,2,0,0,0,0,0.0,,
6,Consultant,start,persona_x_initial_plan,1,0,1,0,0,0,0,0.0,,
6,Developer_IT,free,persona_x_initial_plan,3,0,3,0,0,0,0,0.0,,
6,Developer_IT,plus,persona_x_initial_plan,1,0,1,0,0,0,0,0.0,,
6,Others,business,persona_x_initial_plan,1,0,1,0,0,0,0,0.0,,
6,Others,free,persona_x_initial_plan,1,0,1,0,0,0,0,0.0,,
6,Others,plus,persona_x_initial_plan,1,0,1,0,0,0,0,0.0,,
6,Others,start,persona_x_initial_plan,2,0,2,0,0,0,0,0.0,,
6,Retail,business,persona_x_initial_plan,1,0,1,0,0,0,0,0.0,,
6,Retail,free,persona_x_initial_plan,1,0,1,0,0,0,0,0.0,,
