inactive_months,persona,initial_subscription_group,segment_level,spells_reaching_inactivity_threshold,eventually_returned_in_observed_window,unresolved_at_april_cutoff,spells_with_1_month_followup,returned_within_next_1_month,spells_with_2_month_followup,returned_within_next_2_months,observed_return_lower_bound_pct,return_within_next_1_month_pct,return_within_next_2_months_pct
2,BTP,business,persona_x_initial_plan,16,0,16,13,0,8,0,0.0,0.0,0.0
2,BTP,free,persona_x_initial_plan,59,4,55,38,3,21,3,6.8,7.9,14.3
2,BTP,plus,persona_x_initial_plan,42,2,40,28,0,20,1,4.8,0.0,5.0
2,BTP,start,persona_x_initial_plan,65,1,64,37,1,22,1,1.5,2.7,4.5
2,Bankers_Insurance,free,persona_x_initial_plan,9,0,9,7,0,4,0,0.0,0.0,0.0
2,Bankers_Insurance,start,persona_x_initial_plan,3,0,3,3,0,1,0,0.0,0.0,0.0
2,Bikers_Drivers,business,persona_x_initial_plan,8,0,8,7,0,5,0,0.0,0.0,0.0
2,Bikers_Drivers,free,persona_x_initial_plan,48,2,46,33,2,22,1,4.2,6.1,4.5
2,Bikers_Drivers,plus,persona_x_initial_plan,26,1,25,22,1,19,1,3.8,4.5,5.3
2,Bikers_Drivers,start,persona_x_initial_plan,51,1,50,31,1,18,1,2.0,3.2,5.6
2,Cleaning_CallCenters,free,persona_x_initial_plan,1,0,1,0,0,0,0,0.0,,
2,Cleaning_CallCenters,start,persona_x_initial_plan,1,0,1,1,0,1,0,0.0,0.0,0.0
2,Consultant,business,persona_x_initial_plan,6,0,6,4,0,4,0,0.0,0.0,0.0
2,Consultant,free,persona_x_initial_plan,69,6,63,39,3,23,3,8.7,7.7,13.0
2,Consultant,plus,persona_x_initial_plan,17,0,17,10,0,6,0,0.0,0.0,0.0
2,Consultant,start,persona_x_initial_plan,42,1,41,28,0,13,1,2.4,0.0,7.7
2,Developer_IT,business,persona_x_initial_plan,2,0,2,1,0,1,0,0.0,0.0,0.0
2,Developer_IT,free,persona_x_initial_plan,45,5,40,31,4,20,4,11.1,12.9,20.0
2,Developer_IT,plus,persona_x_initial_plan,9,0,9,6,0,2,0,0.0,0.0,0.0
2,Developer_IT,start,persona_x_initial_plan,19,3,16,11,2,6,2,15.8,18.2,33.3
2,Media_Publishing,free,persona_x_initial_plan,13,3,10,8,2,4,2,23.1,25.0,50.0
2,Media_Publishing,plus,persona_x_initial_plan,2,0,2,1,0,1,0,0.0,0.0,0.0
2,Media_Publishing,start,persona_x_initial_plan,6,1,5,4,0,2,0,16.7,0.0,0.0
2,Medical_Professionals,plus,persona_x_initial_plan,1,0,1,0,0,0,0,0.0,,
2,Medical_Professionals,start,persona_x_initial_plan,4,0,4,3,0,0,0,0.0,0.0,
2,Others,business,persona_x_initial_plan,20,0,20,17,0,13,0,0.0,0.0,0.0
2,Others,free,persona_x_initial_plan,54,2,52,32,1,16,2,3.7,3.1,12.5
2,Others,plus,persona_x_initial_plan,39,1,38,25,1,16,1,2.6,4.0,6.3
2,Others,start,persona_x_initial_plan,66,2,64,38,2,20,1,3.0,5.3,5.0
2,Professeur,business,persona_x_initial_plan,2,0,2,1,0,1,0,0.0,0.0,0.0
2,Professeur,free,persona_x_initial_plan,17,1,16,10,1,5,1,5.9,10.0,20.0
2,Professeur,plus,persona_x_initial_plan,1,0,1,0,0,0,0,0.0,,
2,Professeur,start,persona_x_initial_plan,8,0,8,5,0,2,0,0.0,0.0,0.0
2,Repair,business,persona_x_initial_plan,1,0,1,1,0,1,0,0.0,0.0,0.0
2,Repair,free,persona_x_initial_plan,7,0,7,5,0,3,0,0.0,0.0,0.0
2,Repair,plus,persona_x_initial_plan,1,0,1,0,0,0,0,0.0,,
2,Repair,start,persona_x_initial_plan,3,0,3,2,0,0,0,0.0,0.0,
2,Restauration,business,persona_x_initial_plan,1,0,1,1,0,1,0,0.0,0.0,0.0
2,Restauration,free,persona_x_initial_plan,11,0,11,8,0,5,0,0.0,0.0,0.0
2,Restauration,plus,persona_x_initial_plan,5,2,3,4,1,1,1,40.0,25.0,100.0
2,Restauration,start,persona_x_initial_plan,10,0,10,6,0,2,0,0.0,0.0,0.0
2,Retail,business,persona_x_initial_plan,7,0,7,3,0,3,0,0.0,0.0,0.0
2,Retail,free,persona_x_initial_plan,60,4,56,33,2,14,3,6.7,6.1,21.4
2,Retail,plus,persona_x_initial_plan,32,0,32,21,0,9,0,0.0,0.0,0.0
2,Retail,start,persona_x_initial_plan,69,0,69,45,0,22,0,0.0,0.0,0.0
