account_health_state,persona,initial_subscription_group,segment_level,companies,cutoff_month_revenue,cumulative_revenue,comparable_segment_companies,comparable_segment_company_share_pct
Healthy revenue account,Cleaning_CallCenters,ALL,persona,26,768.81893331287537738668,4492.19818678154961793640,33,78.79
Watch - revenue declining,Cleaning_CallCenters,ALL,persona,4,37.37415931287666954000,1956.78071841345729741000,33,12.12
At-risk,Cleaning_CallCenters,ALL,persona,1,0.00000000000000000000,374.00055837257008986740,33,3.03
Churned proxy,Cleaning_CallCenters,ALL,persona,1,0.00000000000000000000,40.52804180463955143000,33,3.03
Never monetized,Cleaning_CallCenters,ALL,persona,1,0.00000000000000000000,,33,3.03
Healthy revenue account,Consultant,ALL,persona,882,41066.26617399382402479722,183986.27324790961018040577,1097,80.4
Watch - revenue declining,Consultant,ALL,persona,97,5721.56149021955916080520,51969.87999235549607804659,1097,8.84
Recovered / monitor,Consultant,ALL,persona,14,94.00096770191745612850,573.79931335868821697930,1097,1.28
At-risk,Consultant,ALL,persona,42,0.00000000000000000000,4135.33520044334377303565,1097,3.83
Churned proxy,Consultant,ALL,persona,61,0.00000000000000000000,3407.34326748417470013766,1097,5.56
Never monetized,Consultant,ALL,persona,1,0.00000000000000000000,,1097,0.09
Healthy revenue account,Developer_IT,ALL,persona,442,21390.94832762688014343630,94508.00922186549752873735,552,80.07
Watch - revenue declining,Developer_IT,ALL,persona,49,1591.84898596547725334050,14654.16686115355613986426,552,8.88
Recovered / monitor,Developer_IT,ALL,persona,10,186.22020767013674032935,1041.90933852462128344325,552,1.81
At-risk,Developer_IT,ALL,persona,15,0.00000000000000000000,1637.44329455504014211657,552,2.72
Churned proxy,Developer_IT,ALL,persona,34,0.00000000000000000000,2642.10105783620374094840,552,6.16
Never monetized,Developer_IT,ALL,persona,2,0.00000000000000000000,,552,0.36
Healthy revenue account,Media_Publishing,ALL,persona,194,7986.23951356217923597405,36500.78488343331968986909,232,83.62
Watch - revenue declining,Media_Publishing,ALL,persona,13,602.66502511013583012698,6320.66509633532690191098,232,5.6
Recovered / monitor,Media_Publishing,ALL,persona,7,321.22927167452033546000,1028.61108467634866464640,232,3.02
At-risk,Media_Publishing,ALL,persona,10,0.00000000000000000000,593.64267494340890528123,232,4.31
Churned proxy,Media_Publishing,ALL,persona,8,0.00000000000000000000,272.47678110063152867291,232,3.45
Healthy revenue account,Medical_Professionals,ALL,persona,63,2787.62779056437938657950,11587.93069869516409914447,71,88.73
Watch - revenue declining,Medical_Professionals,ALL,persona,4,304.19380476602647925000,3678.11662021041910219000,71,5.63
Recovered / monitor,Medical_Professionals,ALL,persona,1,1.62223223342465790000,5.09527998465753503000,71,1.41
At-risk,Medical_Professionals,ALL,persona,1,0.00000000000000000000,13.83411173227936506220,71,1.41
Churned proxy,Medical_Professionals,ALL,persona,2,0.00000000000000000000,49.72662975345135971000,71,2.82
Healthy revenue account,Others,ALL,persona,763,31051.13167065483720561235,136310.37244362092832238933,1004,76.0
Watch - revenue declining,Others,ALL,persona,85,3204.62863253134958483660,33365.59678306644885806374,1004,8.47
Recovered / monitor,Others,ALL,persona,15,177.51861904547935359690,1517.51317233267007789787,1004,1.49
At-risk,Others,ALL,persona,46,0.00000000000000000000,6657.40020928015418464237,1004,4.58
Churned proxy,Others,ALL,persona,95,0.00000000000000000000,7437.35722623246602805100,1004,9.46
Healthy revenue account,Professeur,ALL,persona,152,4469.18616563999223394260,20005.29797466205275183410,192,79.17
Watch - revenue declining,Professeur,ALL,persona,16,428.99737437917729705100,4615.25668088971306771500,192,8.33
Recovered / monitor,Professeur,ALL,persona,3,31.86625850849311929560,72.85882367639301173660,192,1.56
At-risk,Professeur,ALL,persona,9,0.00000000000000000000,1107.77137257131834286578,192,4.69
Churned proxy,Professeur,ALL,persona,12,0.00000000000000000000,201.80061914809411329412,192,6.25
Healthy revenue account,Repair,ALL,persona,30,480.67216909205419780120,2441.26956393648202918190,42,71.43
Watch - revenue declining,Repair,ALL,persona,5,56.73707364438342047400,973.48738913744700046800,42,11.9
At-risk,Repair,ALL,persona,1,0.00000000000000000000,38.80310145260264046200,42,2.38
Churned proxy,Repair,ALL,persona,6,0.00000000000000000000,424.63203604454807964413,42,14.29
Healthy revenue account,Repair_Installation,ALL,persona,11,630.04216443725831143000,2638.92532670202941672400,13,84.62
Watch - revenue declining,Repair_Installation,ALL,persona,1,90.19505086410925200000,778.44382939375094770000,13,7.69
At-risk,Repair_Installation,ALL,persona,1,0.00000000000000000000,70.82263863999996320800,13,7.69
Healthy revenue account,Restauration,ALL,persona,121,7933.85545047927605320621,34324.04712875052546854009,168,72.02
Watch - revenue declining,Restauration,ALL,persona,22,961.82980174684669084090,8773.41907749079478009250,168,13.1
Recovered / monitor,Restauration,ALL,persona,3,50.99856647013698608950,366.15762640203399204040,168,1.79
At-risk,Restauration,ALL,persona,8,0.00000000000000000000,1079.65472305095504971017,168,4.76
Churned proxy,Restauration,ALL,persona,14,0.00000000000000000000,1071.95689461644209384515,168,8.33
Healthy revenue account,Retail,ALL,persona,634,31410.46248933504481399703,145053.01250680393902829716,865,73.29
Watch - revenue declining,Retail,ALL,persona,86,2864.89091953174636239566,34682.79667842298726616133,865,9.94
Recovered / monitor,Retail,ALL,persona,14,206.29028439890367521935,1147.13492270739033265624,865,1.62
At-risk,Retail,ALL,persona,46,0.00000000000000000000,5078.05712200558484073576,865,5.32
Churned proxy,Retail,ALL,persona,81,0.00000000000000000000,4334.01389883375114194378,865,9.36
Never monetized,Retail,ALL,persona,4,0.00000000000000000000,,865,0.46
Healthy revenue account,Wholesale,ALL,persona,109,6847.50070280765350382189,27864.17018283224892869032,152,71.71
Watch - revenue declining,Wholesale,ALL,persona,20,1067.55679295068147519280,15796.33058514808969836190,152,13.16
Recovered / monitor,Wholesale,ALL,persona,2,34.12679952876702153000,275.49958078573972728760,152,1.32
At-risk,Wholesale,ALL,persona,9,0.00000000000000000000,2357.31992794405581002806,152,5.92
Churned proxy,Wholesale,ALL,persona,10,0.00000000000000000000,791.95038390335523034561,152,6.58
Never monetized,Wholesale,ALL,persona,2,0.00000000000000000000,,152,1.32
Healthy revenue account,Automobile_Trade_Repair,business,persona_x_initial_plan,9,2051.09219086684261875983,8908.31996900198571025671,14,64.29
Watch - revenue declining,Automobile_Trade_Repair,business,persona_x_initial_plan,2,163.83111631671231396900,1887.53237348681147679900,14,14.29
Churned proxy,Automobile_Trade_Repair,business,persona_x_initial_plan,3,0.00000000000000000000,535.51671764008849033400,14,21.43
Healthy revenue account,Automobile_Trade_Repair,free,persona_x_initial_plan,45,941.07288549995580127532,3681.67374440032556197186,74,60.81
Watch - revenue declining,Automobile_Trade_Repair,free,persona_x_initial_plan,12,139.09510356219118284951,2680.65846766624151591588,74,16.22
At-risk,Automobile_Trade_Repair,free,persona_x_initial_plan,9,0.00000000000000000000,453.76510003780845525930,74,12.16
Churned proxy,Automobile_Trade_Repair,free,persona_x_initial_plan,7,0.00000000000000000000,850.83088384491046025996,74,9.46
Never monetized,Automobile_Trade_Repair,free,persona_x_initial_plan,1,0.00000000000000000000,,74,1.35
Healthy revenue account,Automobile_Trade_Repair,plus,persona_x_initial_plan,42,4166.43581872148013858897,19006.29681621704419427762,63,66.67
Watch - revenue declining,Automobile_Trade_Repair,plus,persona_x_initial_plan,10,628.79640521917724489144,8972.89271247502237068974,63,15.87
Recovered / monitor,Automobile_Trade_Repair,plus,persona_x_initial_plan,2,50.03139189041095889910,240.98739911981735866916,63,3.17
At-risk,Automobile_Trade_Repair,plus,persona_x_initial_plan,2,0.00000000000000000000,144.14790939045784518120,63,3.17
Churned proxy,Automobile_Trade_Repair,plus,persona_x_initial_plan,7,0.00000000000000000000,1151.40687647873796059550,63,11.11
Healthy revenue account,Automobile_Trade_Repair,start,persona_x_initial_plan,73,4063.31878319614903834587,14173.25186870627058335799,119,61.34
Watch - revenue declining,Automobile_Trade_Repair,start,persona_x_initial_plan,21,634.42010864821774686510,10384.74221816308589445080,119,17.65
At-risk,Automobile_Trade_Repair,start,persona_x_initial_plan,9,0.00000000000000000000,574.23577450428674636172,119,7.56
Churned proxy,Automobile_Trade_Repair,start,persona_x_initial_plan,14,0.00000000000000000000,2566.99885876194364583330,119,11.76
Never monetized,Automobile_Trade_Repair,start,persona_x_initial_plan,2,0.00000000000000000000,,119,1.68
Healthy revenue account,BTP,business,persona_x_initial_plan,21,4599.68883971231476168270,18725.85607563654338637060,41,51.22
Watch - revenue declining,BTP,business,persona_x_initial_plan,4,1188.37165873533739570000,9956.70396812207490969000,41,9.76
At-risk,BTP,business,persona_x_initial_plan,4,0.00000000000000000000,4902.97143907119398859279,41,9.76
Churned proxy,BTP,business,persona_x_initial_plan,12,0.00000000000000000000,2722.85928007194974980670,41,29.27
Healthy revenue account,BTP,free,persona_x_initial_plan,310,12524.81837148113399066462,57420.15197270087231315205,395,78.48
Watch - revenue declining,BTP,free,persona_x_initial_plan,40,1929.97123528547732937700,26082.09374373560628338764,395,10.13
Recovered / monitor,BTP,free,persona_x_initial_plan,5,8.70905188438354587460,124.66873245260240628440,395,1.27
At-risk,BTP,free,persona_x_initial_plan,10,0.00000000000000000000,299.57959485723555884930,395,2.53
Churned proxy,BTP,free,persona_x_initial_plan,29,0.00000000000000000000,2092.85132428782492325650,395,7.34
Never monetized,BTP,free,persona_x_initial_plan,1,0.00000000000000000000,,395,0.25
Healthy revenue account,BTP,plus,persona_x_initial_plan,157,14191.71688475800987188489,65039.93365545622603922307,257,61.09
Watch - revenue declining,BTP,plus,persona_x_initial_plan,55,3947.71120713259151973930,44385.98432273064594126780,257,21.4
Recovered / monitor,BTP,plus,persona_x_initial_plan,7,246.28277056712276599150,1181.63311072172126141890,257,2.72
At-risk,BTP,plus,persona_x_initial_plan,13,0.00000000000000000000,2214.79551986170298596792,257,5.06
Churned proxy,BTP,plus,persona_x_initial_plan,25,0.00000000000000000000,1466.00056899183149767643,257,9.73
Healthy revenue account,BTP,start,persona_x_initial_plan,330,21221.74102899793938328915,87731.55999121668091371681,458,72.05
Watch - revenue declining,BTP,start,persona_x_initial_plan,80,3634.30154936053847755023,43133.20284769112121952003,458,17.47
At-risk,BTP,start,persona_x_initial_plan,17,0.00000000000000000000,3875.51375127303733276047,458,3.71
Churned proxy,BTP,start,persona_x_initial_plan,31,0.00000000000000000000,2581.89135925746118400034,458,6.77
Healthy revenue account,Bankers_Insurance,free,persona_x_initial_plan,39,916.83558795945169170300,4511.09385937398067755465,54,72.22
Watch - revenue declining,Bankers_Insurance,free,persona_x_initial_plan,4,320.54153681698626300000,3819.00109492791716830000,54,7.41
Recovered / monitor,Bankers_Insurance,free,persona_x_initial_plan,3,11.21988240000000100000,110.21944304520405418700,54,5.56
At-risk,Bankers_Insurance,free,persona_x_initial_plan,1,0.00000000000000000000,4.16739726027397330000,54,1.85
Churned proxy,Bankers_Insurance,free,persona_x_initial_plan,7,0.00000000000000000000,430.37875964517013175210,54,12.96
Healthy revenue account,Bankers_Insurance,plus,persona_x_initial_plan,2,181.51756819123209380000,1071.53616589238691580000,3,66.67
Watch - revenue declining,Bankers_Insurance,plus,persona_x_initial_plan,1,95.92537623452023800000,1013.06774339024396080000,3,33.33
