revenue_lifecycle_state,persona,initial_subscription_group,segment_level,companies,segment_company_share_pct,revenue_type,last_observed_revenue
Churned proxy,Bikers_Drivers,ALL,persona,89,8.53,Subscription,807.00000000000000000000
Churned proxy,Bikers_Drivers,ALL,persona,89,8.53,Total revenue,3180.38771060274756510250
Active,Cleaning_CallCenters,ALL,persona,89,94.68,Banking fees,25.60000000000000000000
Active,Cleaning_CallCenters,ALL,persona,89,94.68,Deposit interest,575.47976632000004560435
Active,Cleaning_CallCenters,ALL,persona,89,94.68,Interchange,912.07704599999507173500
Active,Cleaning_CallCenters,ALL,persona,89,94.68,Subscription,863.21875000000000000000
Active,Cleaning_CallCenters,ALL,persona,89,94.68,Total revenue,2376.37556231999511733935
At-risk,Cleaning_CallCenters,ALL,persona,4,4.26,Banking fees,-9.60000000000000000000
At-risk,Cleaning_CallCenters,ALL,persona,4,4.26,Deposit interest,19.74007746465753707865
At-risk,Cleaning_CallCenters,ALL,persona,4,4.26,Interchange,40.09129199999980400000
At-risk,Cleaning_CallCenters,ALL,persona,4,4.26,Subscription,0.00000000000000000000
At-risk,Cleaning_CallCenters,ALL,persona,4,4.26,Total revenue,50.23136946465734107865
Churned proxy,Cleaning_CallCenters,ALL,persona,1,1.06,Banking fees,0.00000000000000000000
Churned proxy,Cleaning_CallCenters,ALL,persona,1,1.06,Deposit interest,0.40881242739726043000
Churned proxy,Cleaning_CallCenters,ALL,persona,1,1.06,Interchange,40.11922937724229100000
Churned proxy,Cleaning_CallCenters,ALL,persona,1,1.06,Subscription,0.00000000000000000000
Churned proxy,Cleaning_CallCenters,ALL,persona,1,1.06,Total revenue,40.52804180463955143000
Active,Consultant,ALL,persona,2866,93.51,Banking fees,6696.42000000000000000000
Active,Consultant,ALL,persona,2866,93.51,Deposit interest,45675.97407779068598374490
Active,Consultant,ALL,persona,2866,93.51,Interchange,35488.83568859980572660880
Active,Consultant,ALL,persona,2866,93.51,Subscription,19250.53098225864515600000
Active,Consultant,ALL,persona,2866,93.51,Total revenue,107111.76074864913686635370
At-risk,Consultant,ALL,persona,125,4.08,Banking fees,100.26000000000000000000
At-risk,Consultant,ALL,persona,125,4.08,Deposit interest,341.64158373972604976226
At-risk,Consultant,ALL,persona,125,4.08,Interchange,1276.89548399999475568400
At-risk,Consultant,ALL,persona,125,4.08,Subscription,599.09000000000000000000
At-risk,Consultant,ALL,persona,125,4.08,Total revenue,2317.88706773972080544626
Churned proxy,Consultant,ALL,persona,74,2.41,Banking fees,286.52000000000000000000
Churned proxy,Consultant,ALL,persona,74,2.41,Deposit interest,66.50815712164385387691
Churned proxy,Consultant,ALL,persona,74,2.41,Interchange,1172.03201498516004385000
Churned proxy,Consultant,ALL,persona,74,2.41,Subscription,369.77083333300000000000
