month_start,persona,initial_subscription_group,segment_level,active_at_start,post_activation_closed_during_month,activated_during_month,activated_and_closed_same_month,active_at_end,monthly_post_activation_closure_rate_pct
2026-04-01,Consultant,business,persona_x_initial_plan,22,1,3,1,23,4.55
2026-04-01,Consultant,free,persona_x_initial_plan,1132,10,234,0,1356,0.88
2026-04-01,Consultant,plus,persona_x_initial_plan,188,4,28,0,212,2.13
2026-04-01,Consultant,start,persona_x_initial_plan,1161,13,220,1,1367,1.12
2026-04-01,Developer_IT,business,persona_x_initial_plan,15,3,5,0,17,20.0
2026-04-01,Developer_IT,free,persona_x_initial_plan,527,9,110,1,627,1.71
2026-04-01,Developer_IT,plus,persona_x_initial_plan,89,6,19,2,100,6.74
2026-04-01,Developer_IT,start,persona_x_initial_plan,555,8,77,0,624,1.44
2026-04-01,Media_Publishing,business,persona_x_initial_plan,3,0,1,0,4,0.0
2026-04-01,Media_Publishing,free,persona_x_initial_plan,236,2,48,1,281,0.85
2026-04-01,Media_Publishing,plus,persona_x_initial_plan,33,1,5,0,37,3.03
2026-04-01,Media_Publishing,start,persona_x_initial_plan,260,1,50,0,309,0.38
2026-04-01,Medical_Professionals,free,persona_x_initial_plan,76,2,21,0,95,2.63
2026-04-01,Medical_Professionals,plus,persona_x_initial_plan,10,0,0,0,10,0.0
2026-04-01,Medical_Professionals,start,persona_x_initial_plan,87,2,22,0,107,2.3
2026-04-01,Others,business,persona_x_initial_plan,31,3,9,0,37,9.68
2026-04-01,Others,free,persona_x_initial_plan,901,13,229,5,1112,1.44
2026-04-01,Others,plus,persona_x_initial_plan,308,6,59,0,361,1.95
2026-04-01,Others,start,persona_x_initial_plan,1046,16,226,4,1252,1.53
2026-04-01,Professeur,business,persona_x_initial_plan,2,0,0,0,2,0.0
2026-04-01,Professeur,free,persona_x_initial_plan,189,1,52,0,240,0.53
2026-04-01,Professeur,plus,persona_x_initial_plan,26,0,6,0,32,0.0
2026-04-01,Professeur,start,persona_x_initial_plan,215,6,35,0,244,2.79
2026-04-01,Repair,business,persona_x_initial_plan,0,0,0,0,0,
2026-04-01,Repair,free,persona_x_initial_plan,49,2,11,1,57,4.08
2026-04-01,Repair,plus,persona_x_initial_plan,10,0,2,0,12,0.0
2026-04-01,Repair,start,persona_x_initial_plan,33,0,9,0,42,0.0
2026-04-01,Repair_Installation,business,persona_x_initial_plan,1,0,0,0,1,0.0
2026-04-01,Repair_Installation,free,persona_x_initial_plan,11,0,1,0,12,0.0
2026-04-01,Repair_Installation,plus,persona_x_initial_plan,4,0,2,0,6,0.0
2026-04-01,Repair_Installation,start,persona_x_initial_plan,16,0,2,0,18,0.0
2026-04-01,Restauration,business,persona_x_initial_plan,2,0,0,0,2,0.0
2026-04-01,Restauration,free,persona_x_initial_plan,134,1,19,0,152,0.75
2026-04-01,Restauration,plus,persona_x_initial_plan,68,1,7,0,74,1.47
2026-04-01,Restauration,start,persona_x_initial_plan,171,3,56,0,224,1.75
2026-04-01,Retail,business,persona_x_initial_plan,17,2,6,0,21,11.76
2026-04-01,Retail,free,persona_x_initial_plan,771,15,176,0,932,1.95
2026-04-01,Retail,plus,persona_x_initial_plan,216,6,44,1,253,2.78
