activation_month,observation_month,months_since_activation,segment_level,persona,initial_subscription_group,activated_cohort_size,active_companies,at_risk_companies,churned_proxy_companies,never_monetized_companies,active_share_pct,at_risk_share_pct,churned_proxy_share_pct,never_monetized_share_pct,subscription_revenue,interchange_revenue,banking_fees,deposit_interest_revenue,total_revenue,revenue_per_original_activated_company
2025-12-01,2026-02-01,2,initial_plan,ALL,free,1129,1043,82,0,4,92.38,7.26,0.0,0.35,589.03484127000000000000,9262.66111739996352480700,1855.74000000000000840000,11475.65130923561720516803,23183.08726790558073837503,20.534178270952683
2025-12-01,2026-02-01,2,initial_plan,ALL,plus,357,323,33,0,1,90.48,9.24,0.0,0.28,7816.57999999700000000000,17373.02582159993203724800,892.30000000000000000000,4871.09210706849378696393,30952.99792866542582421193,86.70307543043538
2025-12-01,2026-02-01,2,initial_plan,ALL,start,1155,1097,54,0,4,94.98,4.68,0.0,0.35,11142.46646929900000000000,24358.17351239990398208300,3749.67999999999999931800,12455.99997690082315772600,51706.31995859972713912700,44.76737658753223
2025-12-01,2026-02-01,2,overall,ALL,ALL,2706,2502,195,0,9,92.46,7.21,0.0,0.33,22454.08131056600000000000,55458.53060939978138305800,6521.18000000000000771800,29504.79702264931780645126,113938.58894261509919722726,42.1059087001534
2025-12-01,2026-02-01,2,persona,Automobile_Trade_Repair,ALL,123,109,12,0,2,88.62,9.76,0.0,1.63,1420.33333333300000000000,3580.08795359998574351300,179.01999999999999940000,915.18068158630149048029,6094.62196851928723339329,49.54977210178282
2025-12-01,2026-02-01,2,persona,BTP,ALL,461,432,29,0,0,93.71,6.29,0.0,0.0,5405.34200501200000000000,16353.97350839993550026900,744.94000000000000001800,7015.46990402849377722943,29519.72541744042927751643,64.03411153457795
2025-12-01,2026-02-01,2,persona,Bankers_Insurance,ALL,39,34,5,0,0,87.18,12.82,0.0,0.0,136.00000000000000000000,566.50967639999773234000,18.48000000000000000000,685.99601574465760750300,1406.98569214465533984300,36.07655620883732
2025-12-01,2026-02-01,2,persona,Bikers_Drivers,ALL,152,131,20,0,1,86.18,13.16,0.0,0.66,1237.23333333300000000000,2124.87031799999164815000,208.96000000000000000000,560.89159818958908423618,4131.95524952258073238618,27.183916115280137
2025-12-01,2026-02-01,2,persona,Cleaning_CallCenters,ALL,11,9,1,0,1,81.82,9.09,0.0,9.09,103.00000000000000000000,121.71320999999950660000,14.00000000000000000000,385.33775851506854418190,624.05096851506805078190,56.73190622864254
2025-12-01,2026-02-01,2,persona,Consultant,ALL,459,436,22,0,1,94.99,4.79,0.0,0.22,2727.43594202900000000000,8605.04467499996607710300,791.22000000000000000000,6904.91067204383622692078,19028.61128907280230402378,41.45666947510415
2025-12-01,2026-02-01,2,persona,Developer_IT,ALL,231,217,13,0,1,93.94,5.63,0.0,0.43,1404.92614130400000000000,2328.04082339999076567800,411.88000000000000400000,4159.09984504383599213450,8303.94680974782676181250,35.947821687220035
2025-12-01,2026-02-01,2,persona,Media_Publishing,ALL,109,103,6,0,0,94.5,5.5,0.0,0.0,659.13750000000000000000,1287.04520519999488014000,338.60000000000000000000,1011.19402598739736871215,3295.97673118739224885215,30.238318634746715
2025-12-01,2026-02-01,2,persona,Medical_Professionals,ALL,28,27,1,0,0,96.43,3.57,0.0,0.0,221.00000000000000000000,1219.78407599999520386000,94.50000000000000000000,215.01736673643838242418,1750.30144273643358628418,62.510765812015485
2025-12-01,2026-02-01,2,persona,Others,ALL,452,413,39,0,0,91.37,8.63,0.0,0.0,3614.56888888900000000000,7456.83839279997070021000,1813.54000000000000530000,3839.02660627561678879463,16723.97388796458749430463,36.99994223001015
2025-12-01,2026-02-01,2,persona,Professeur,ALL,83,77,6,0,0,92.77,7.23,0.0,0.0,670.00000000000000000000,1199.03407199999531311000,778.68000000000000000000,536.16464231561649371256,3183.87871431561180682256,38.35998450982665
2025-12-01,2026-02-01,2,persona,Repair,ALL,19,18,1,0,0,94.74,5.26,0.0,0.0,125.00000000000000000000,112.07136419999954891000,32.30000000000000000000,8.60683977095890463560,277.97820397095845354560,14.630431787945183
2025-12-01,2026-02-01,2,persona,Repair_Installation,ALL,4,4,0,0,0,100.0,0.0,0.0,0.0,33.00000000000000000000,78.51257999999968230000,11.20000000000000000000,25.34107928712329313000,148.05365928712297543000,37.01341482178074
2025-12-01,2026-02-01,2,persona,Restauration,ALL,81,74,7,0,0,91.36,8.64,0.0,0.0,668.80000000000000000000,2777.89948199998921058000,150.80000000000000000000,414.72095777479458897618,4012.22043977478379955618,49.533585676231894
2025-12-01,2026-02-01,2,persona,Retail,ALL,387,355,30,0,2,91.73,7.75,0.0,0.52,2848.86416666600000000000,6872.08033079997287363500,889.05999999999999900000,1985.69997906575360532448,12595.70447653172647795948,32.547039991038055
